                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    104,                0.43867,                0.27316,                0.85291,                0.96077,                0.94788,                0.98557,                0.88233,                 0.3519,                0.16631,                0.82229,              0.0049015,              0.0049015,              0.0049015
                    105,                0.43848,                0.27518,                0.85449,                0.96148,                0.94753,                0.98564,                0.88275,                0.35165,                  0.166,                0.82222,               0.004852,               0.004852,               0.004852
                    106,                0.43465,                0.26789,                0.85338,                0.95834,                 0.9497,                0.98563,                 0.8837,                0.35123,                0.16573,                0.82212,              0.0048025,              0.0048025,              0.0048025
                    107,                0.43307,                0.26921,                0.85418,                0.95987,                0.95043,                0.98559,                0.88342,                0.35105,                0.16529,                0.82239,               0.004753,               0.004753,               0.004753
                    108,                0.43222,                0.26919,                0.85319,                0.95882,                0.95034,                0.98569,                0.88109,                0.35101,                0.16515,                0.82235,              0.0047035,              0.0047035,              0.0047035
                    109,                0.43278,                0.26772,                0.85316,                0.95875,                0.94972,                0.98567,                0.88098,                0.35072,                0.16521,                0.82205,               0.004654,               0.004654,               0.004654
                    110,                0.43378,                0.26877,                0.85316,                0.96259,                0.94769,                0.99058,                 0.8872,                0.35072,                0.16508,                0.82195,              0.0046045,              0.0046045,              0.0046045
                    111,                0.43253,                0.26795,                0.85395,                0.96203,                0.94759,                0.99056,                0.88679,                0.35052,                0.16474,                 0.8218,               0.004555,               0.004555,               0.004555
                    112,                0.43204,                0.26571,                0.85225,                0.96238,                0.94732,                0.98557,                0.88292,                0.35039,                0.16487,                0.82182,              0.0045055,              0.0045055,              0.0045055
                    113,                0.42991,                0.26776,                0.85272,                0.96086,                0.94747,                0.98599,                0.88053,                0.35012,                0.16513,                0.82172,               0.004456,               0.004456,               0.004456
                    114,                0.42852,                0.26535,                0.85325,                0.96178,                0.94666,                0.98596,                0.88112,                0.34999,                0.16481,                0.82173,              0.0044065,              0.0044065,              0.0044065
                    115,                0.42951,                0.26499,                0.85224,                0.96215,                0.94668,                 0.9859,                 0.8805,                0.34978,                0.16484,                0.82167,               0.004357,               0.004357,               0.004357
                    116,                0.42783,                0.26517,                0.85253,                 0.9608,                0.94694,                0.98593,                0.88081,                0.34964,                0.16497,                0.82163,              0.0043075,              0.0043075,              0.0043075
                    117,                 0.4283,                0.26303,                0.85309,                0.96007,                0.94702,                0.98421,                 0.8802,                0.34952,                0.16481,                0.82161,               0.004258,               0.004258,               0.004258
                    118,                0.42818,                0.26324,                0.85152,                0.95981,                0.94735,                0.98417,                0.88014,                 0.3492,                0.16437,                 0.8215,              0.0042085,              0.0042085,              0.0042085
                    119,                0.42884,                0.26521,                 0.8538,                 0.9594,                0.94764,                0.98413,                0.87975,                 0.3489,                0.16423,                0.82137,               0.004159,               0.004159,               0.004159
                    120,                0.42978,                 0.2635,                0.85291,                0.95815,                0.94835,                0.98415,                0.88081,                0.34866,                0.16424,                 0.8213,              0.0041095,              0.0041095,              0.0041095
                    121,                0.42913,                0.26266,                0.85321,                0.95772,                0.94931,                0.98406,                0.87986,                0.34845,                0.16413,                0.82122,                0.00406,                0.00406,                0.00406
                    122,                0.42625,                0.26366,                0.85112,                0.95699,                 0.9499,                0.98406,                0.87841,                0.34827,                0.16424,                0.82124,              0.0040105,              0.0040105,              0.0040105
                    123,                0.42584,                0.26361,                0.85196,                0.95711,                0.95035,                0.98405,                0.87853,                0.34828,                0.16403,                0.82126,               0.003961,               0.003961,               0.003961
                    124,                0.42687,                0.26233,                0.85199,                0.95599,                0.95115,                 0.9906,                  0.885,                0.34792,                0.16407,                0.82121,              0.0039115,              0.0039115,              0.0039115
                    125,                0.42665,                0.26096,                0.85231,                0.95538,                0.95116,                0.99062,                0.88466,                0.34784,                0.16398,                0.82111,               0.003862,               0.003862,               0.003862
                    126,                 0.4249,                0.25901,                0.85177,                0.95412,                0.95103,                0.98571,                0.87993,                0.34778,                0.16398,                0.82106,              0.0038125,              0.0038125,              0.0038125
                    127,                0.42348,                0.25911,                0.85047,                0.95545,                0.95151,                0.98571,                0.87913,                0.34768,                 0.1639,                0.82102,               0.003763,               0.003763,               0.003763
                    128,                0.42394,                0.25711,                 0.8528,                0.95609,                0.95147,                0.98573,                0.87983,                0.34746,                0.16382,                0.82104,              0.0037135,              0.0037135,              0.0037135
                    129,                0.42258,                0.25617,                0.85114,                0.95646,                0.95096,                0.98574,                0.87828,                0.34736,                0.16383,                0.82097,               0.003664,               0.003664,               0.003664
